Year,OSHPD ID,Admission_Source_Route,Count
2009,10735,Your Emergency Room,2400
2009,10735,Not Your Emergency Room (or No ER),442
2009,10739,Your Emergency Room,6909
2009,10739,Not Your Emergency Room (or No ER),18281
2009,10776,Your Emergency Room,7417
2009,10776,Not Your Emergency Room (or No ER),3493
2009,10782,Not Your Emergency Room (or No ER),136
2009,10805,Your Emergency Room,5817
2009,10805,Not Your Emergency Room (or No ER),4281
2009,10844,Not Your Emergency Room (or No ER),3571
2009,10846,Your Emergency Room,7448
2009,10846,Not Your Emergency Room (or No ER),7283
2009,10856,Your Emergency Room,8389
2009,10856,Not Your Emergency Room (or No ER),11752
2009,10858,Your Emergency Room,9088
2009,10858,Not Your Emergency Room (or No ER),9726
2009,10887,Not Your Emergency Room (or No ER),463
2009,10937,Your Emergency Room,8195
2009,10937,Not Your Emergency Room (or No ER),6369
2009,10967,Your Emergency Room,5317
2009,10967,Not Your Emergency Room (or No ER),3575
2009,10987,Your Emergency Room,6785
2009,10987,Not Your Emergency Room (or No ER),8910
2009,13619,Your Emergency Room,3653
2009,13619,Not Your Emergency Room (or No ER),570
2009,13687,Your Emergency Room,1
2009,13687,Not Your Emergency Room (or No ER),590
2009,14034,Not Your Emergency Room (or No ER),3438
2009,14050,Your Emergency Room,4038
2009,14050,Not Your Emergency Room (or No ER),5384
2009,14207,Not Your Emergency Room (or No ER),1272
2009,14226,Not Your Emergency Room (or No ER),649
2009,34002,Your Emergency Room,1523
2009,34002,Not Your Emergency Room (or No ER),1133
2009,34002,Unknown,2
2009,40802,Your Emergency Room,502
2009,40802,Not Your Emergency Room (or No ER),231
2009,40875,Your Emergency Room,2906
2009,40875,Not Your Emergency Room (or No ER),3003
2009,40937,Your Emergency Room,6955
2009,40937,Not Your Emergency Room (or No ER),2462
2009,40962,Your Emergency Room,8439
2009,40962,Not Your Emergency Room (or No ER),7651
2009,44006,Not Your Emergency Room (or No ER),609
2009,50932,Your Emergency Room,1199
2009,50932,Not Your Emergency Room (or No ER),339
2009,60870,Your Emergency Room,679
2009,60870,Not Your Emergency Room (or No ER),713
2009,70904,Your Emergency Room,5443
2009,70904,Not Your Emergency Room (or No ER),834
2009,70924,Your Emergency Room,5122
2009,70924,Not Your Emergency Room (or No ER),6726
2009,70934,Your Emergency Room,5980
2009,70934,Not Your Emergency Room (or No ER),2457
2009,70988,Your Emergency Room,9730
2009,70988,Not Your Emergency Room (or No ER),10290
2009,70990,Your Emergency Room,7941
2009,70990,Not Your Emergency Room (or No ER),11027
2009,71018,Your Emergency Room,6032
2009,71018,Not Your Emergency Room (or No ER),3023
2009,74017,Your Emergency Room,2738
2009,74017,Not Your Emergency Room (or No ER),2841
2009,74039,Not Your Emergency Room (or No ER),2776
2009,74097,Your Emergency Room,4158
2009,74097,Not Your Emergency Room (or No ER),4888
2009,84001,Your Emergency Room,1984
2009,84001,Not Your Emergency Room (or No ER),792
2009,90793,Your Emergency Room,1489
2009,90793,Not Your Emergency Room (or No ER),1549
2009,90933,Your Emergency Room,3962
2009,90933,Not Your Emergency Room (or No ER),2503
2009,94002,Not Your Emergency Room (or No ER),337
2009,100005,Your Emergency Room,3588
2009,100005,Not Your Emergency Room (or No ER),9550
2009,100005,Unknown,1
2009,100697,Your Emergency Room,1069
2009,100697,Not Your Emergency Room (or No ER),209
2009,100717,Your Emergency Room,20631
2009,100717,Not Your Emergency Room (or No ER),21528
2009,100717,Unknown,2
2009,100745,Not Your Emergency Room (or No ER),45
2009,100797,Your Emergency Room,742
2009,100797,Not Your Emergency Room (or No ER),3314
2009,100899,Your Emergency Room,14594
2009,100899,Not Your Emergency Room (or No ER),13092
2009,104023,Not Your Emergency Room (or No ER),1394
2009,104047,Not Your Emergency Room (or No ER),2280
2009,104062,Your Emergency Room,4178
2009,104062,Not Your Emergency Room (or No ER),4586
2009,104089,Not Your Emergency Room (or No ER),897
2009,105029,Not Your Emergency Room (or No ER),3633
2009,110889,Your Emergency Room,276
2009,110889,Not Your Emergency Room (or No ER),29
2009,121002,Your Emergency Room,1319
2009,121002,Not Your Emergency Room (or No ER),1260
2009,121031,Your Emergency Room,27
2009,121031,Not Your Emergency Room (or No ER),56
2009,121051,Your Emergency Room,860
2009,121051,Not Your Emergency Room (or No ER),1216
2009,121080,Your Emergency Room,3413
2009,121080,Not Your Emergency Room (or No ER),3868
2009,124004,Not Your Emergency Room (or No ER),637
2009,130699,Your Emergency Room,3854
2009,130699,Not Your Emergency Room (or No ER),3759
