Year,OSHPD ID,Admission_Type,Count
2009,10735,Scheduled,404
2009,10735,Unscheduled,2438
2009,10739,Scheduled,1652
2009,10739,Unscheduled,15869
2009,10739,"Infant, under 24 hrs old",7669
2009,10776,Scheduled,2275
2009,10776,Unscheduled,8477
2009,10776,"Infant, under 24 hrs old",145
2009,10776,Unknown,13
2009,10782,Scheduled,136
2009,10805,Scheduled,2114
2009,10805,Unscheduled,6828
2009,10805,"Infant, under 24 hrs old",1156
2009,10844,Scheduled,729
2009,10844,Unscheduled,2835
2009,10844,Unknown,7
2009,10846,Scheduled,1550
2009,10846,Unscheduled,11827
2009,10846,"Infant, under 24 hrs old",1354
2009,10856,Scheduled,4850
2009,10856,Unscheduled,13023
2009,10856,"Infant, under 24 hrs old",2266
2009,10856,Unknown,2
2009,10858,Scheduled,3268
2009,10858,Unscheduled,12835
2009,10858,"Infant, under 24 hrs old",2711
2009,10887,Scheduled,463
2009,10937,Scheduled,3446
2009,10937,Unscheduled,11118
2009,10967,Scheduled,1076
2009,10967,Unscheduled,6535
2009,10967,"Infant, under 24 hrs old",1281
2009,10987,Scheduled,4746
2009,10987,Unscheduled,8540
2009,10987,"Infant, under 24 hrs old",2409
2009,13619,Scheduled,394
2009,13619,Unscheduled,3829
2009,13687,Scheduled,579
2009,13687,Unscheduled,12
2009,14034,Unscheduled,3438
2009,14050,Scheduled,2455
2009,14050,Unscheduled,5557
2009,14050,"Infant, under 24 hrs old",1408
2009,14050,Unknown,2
2009,14207,Scheduled,5
2009,14207,Unscheduled,1267
2009,14226,Unscheduled,649
2009,34002,Scheduled,324
2009,34002,Unscheduled,1987
2009,34002,"Infant, under 24 hrs old",345
2009,34002,Unknown,2
2009,40802,Scheduled,39
2009,40802,Unscheduled,694
2009,40875,Scheduled,1685
2009,40875,Unscheduled,3255
2009,40875,"Infant, under 24 hrs old",969
2009,40937,Scheduled,1033
2009,40937,Unscheduled,7824
2009,40937,"Infant, under 24 hrs old",560
2009,40962,Scheduled,2928
2009,40962,Unscheduled,11759
2009,40962,"Infant, under 24 hrs old",1403
2009,44006,Unscheduled,602
2009,44006,Unknown,7
2009,50932,Scheduled,287
2009,50932,Unscheduled,1251
2009,60870,Scheduled,140
2009,60870,Unscheduled,1036
2009,60870,"Infant, under 24 hrs old",216
2009,70904,Scheduled,676
2009,70904,Unscheduled,5601
2009,70924,Scheduled,800
2009,70924,Unscheduled,8587
2009,70924,"Infant, under 24 hrs old",2459
2009,70924,Unknown,2
2009,70934,Scheduled,1189
2009,70934,Unscheduled,6297
2009,70934,"Infant, under 24 hrs old",951
2009,70988,Scheduled,3858
2009,70988,Unscheduled,13394
2009,100797,Scheduled,351
2009,70988,"Infant, under 24 hrs old",2765
2009,70988,Unknown,3
2009,70990,Scheduled,2972
2009,70990,Unscheduled,12616
2009,70990,"Infant, under 24 hrs old",3379
2009,70990,Unknown,1
2009,71018,Scheduled,1760
2009,71018,Unscheduled,7291
2009,71018,Unknown,4
2009,74017,Scheduled,512
2009,74017,Unscheduled,4260
2009,74017,"Infant, under 24 hrs old",807
2009,74039,Unscheduled,2776
2009,74097,Scheduled,1779
2009,74097,Unscheduled,5984
2009,74097,"Infant, under 24 hrs old",1281
2009,74097,Unknown,2
2009,84001,Scheduled,151
2009,84001,Unscheduled,2297
2009,84001,"Infant, under 24 hrs old",328
2009,90793,Scheduled,1097
2009,90793,Unscheduled,1491
2009,90793,"Infant, under 24 hrs old",449
2009,90793,Unknown,1
2009,90933,Scheduled,1367
2009,90933,Unscheduled,4500
2009,90933,"Infant, under 24 hrs old",586
2009,90933,Unknown,12
2009,94002,Unscheduled,337
2009,100005,Scheduled,3492
2009,100005,Unscheduled,6016
2009,100005,"Infant, under 24 hrs old",3622
2009,100005,Unknown,9
2009,100697,Scheduled,116
2009,100697,Unscheduled,1162
2009,100717,Scheduled,5606
2009,100717,Unscheduled,29940
2009,100717,"Infant, under 24 hrs old",6569
2009,100717,Unknown,46
2009,100745,Scheduled,45
2009,100797,Unscheduled,2106
2009,100797,"Infant, under 24 hrs old",1599
2009,100899,Scheduled,4088
2009,100899,Unscheduled,19876
2009,100899,"Infant, under 24 hrs old",3717
2009,100899,Unknown,5
2009,104023,Scheduled,1394
2009,104047,Scheduled,2278
2009,104047,Unscheduled,1
2009,104047,Unknown,1
2009,104062,Scheduled,1742
2009,104062,Unscheduled,5912
2009,104062,"Infant, under 24 hrs old",1109
2009,104062,Unknown,1
2009,104089,Scheduled,18
2009,104089,Unscheduled,879
2009,105029,Scheduled,2933
2009,105029,Unscheduled,700
2009,110889,Unscheduled,305
2009,121002,Scheduled,228
2009,121002,Unscheduled,1891
2009,121002,"Infant, under 24 hrs old",460
