Year,OSHPD ID,Age Groups,Count
2009,10735,19-Oct,62
2009,10735,20-29,124
2009,10735,30-39,140
2009,10735,40-49,243
2009,10735,50-59,411
2009,10735,60-69,415
2009,10735,70-79,486
2009,10735,80+,961
2009,10739,Under 1,7743
2009,10739,19-Oct,788
2009,10739,20-29,4102
2009,10739,30-39,4255
2009,10739,40-49,1448
2009,10739,50-59,1598
2009,10739,60-69,1711
2009,10739,70-79,1456
2009,10739,80+,2089
2009,10776,Under 1,2777
2009,10776,9-Jan,4977
2009,10776,19-Oct,3027
2009,10776,20-29,125
2009,10776,30-39,1
2009,10776,40-49,3
2009,10782,19-Oct,136
2009,10805,Under 1,1185
2009,10805,19-Oct,279
2009,10805,20-29,1140
2009,10805,30-39,1015
2009,10805,40-49,1000
2009,10805,50-59,1239
2009,10805,60-69,1191
2009,10805,70-79,1141
2009,10805,80+,1908
2009,10844,19-Oct,599
2009,10844,20-29,427
2009,10844,30-39,444
2009,10844,40-49,537
2009,10844,50-59,629
2009,10844,60-69,404
2009,10844,70-79,275
2009,10844,80+,256
2009,10846,Under 1,1411
2009,10846,19-Oct,480
2009,10846,20-29,2721
2009,10846,30-39,2359
2009,10846,40-49,2504
2009,10846,50-59,2780
2009,10846,60-69,1592
2009,10846,70-79,507
2009,10846,80+,377
2009,10856,Under 1,2628
2009,10856,9-Jan,742
2009,10856,19-Oct,978
2009,10856,20-29,1465
2009,10856,30-39,2144
2009,10856,40-49,1647
2009,10856,50-59,2503
2009,10856,60-69,2643
2009,10856,70-79,2493
2009,10856,80+,2896
2009,10856,Unknown,2
2009,10858,Under 1,2950
2009,10858,9-Jan,398
2009,10858,19-Oct,536
2009,10858,20-29,1801
2009,10858,30-39,2227
2009,10858,40-49,1540
2009,10858,50-59,2025
2009,10858,60-69,2179
2009,10858,70-79,2439
2009,10858,80+,2719
2009,10887,20-29,19
2009,10887,30-39,11
2009,10887,40-49,32
2009,10887,50-59,69
2009,10887,60-69,106
2009,10887,70-79,118
2009,10887,80+,108
2009,10937,19-Oct,50
2009,10937,20-29,381
2009,10937,30-39,702
2009,10937,40-49,1410
2009,10937,50-59,2655
2009,10937,60-69,3011
2009,10937,70-79,2885
2009,10937,80+,3470
2009,10967,Under 1,1300
2009,10967,19-Oct,235
2009,10967,20-29,1063
2009,10967,30-39,788
2009,10967,40-49,783
2009,10967,50-59,1169
2009,10967,60-69,1163
2009,10967,70-79,1113
2009,10967,80+,1277
2009,10967,Unknown,1
2009,10987,Under 1,2593
2009,10987,9-Jan,228
2009,10987,19-Oct,223
2009,10987,20-29,1262
2009,10987,30-39,1867
2009,10987,40-49,1044
2009,10987,50-59,1538
2009,10987,60-69,1854
2009,10987,70-79,2365
2009,10987,80+,2721
2009,13619,19-Oct,15
2009,13619,20-29,135
2009,13619,30-39,189
2009,13619,40-49,471
2009,13619,50-59,696
2009,13619,60-69,666
2009,13619,70-79,712
2009,13619,80+,1339
2009,13687,19-Oct,19
2009,13687,20-29,106
2009,13687,30-39,122
2009,13687,40-49,163
2009,13687,50-59,134
2009,13687,60-69,45
2009,13687,70-79,2
2009,14034,19-Oct,1039
2009,14034,20-29,567
2009,14034,30-39,553
2009,14034,40-49,626
2009,14034,50-59,413
2009,14034,60-69,147
2009,14034,70-79,72
2009,14034,80+,21
2009,14050,Under 1,1517
2009,14050,9-Jan,116
2009,14050,19-Oct,136
2009,14050,20-29,821
2009,14050,30-39,1076
2009,14050,40-49,826
2009,14050,50-59,994
2009,14050,60-69,1103
2009,14050,70-79,1148
2009,14050,80+,1685
2009,14207,9-Jan,1
2009,14207,19-Oct,90
2009,14207,20-29,329
2009,14207,30-39,245
2009,14207,40-49,257
2009,14207,50-59,216
2009,14207,60-69,95
2009,14207,70-79,26
2009,14207,80+,13
2009,14226,19-Oct,649
2009,34002,Under 1,364
2009,34002,9-Jan,16
2009,34002,19-Oct,80
2009,34002,20-29,288
2009,34002,30-39,203
2009,34002,40-49,211
2009,34002,50-59,303
2009,34002,60-69,323
2009,34002,70-79,347
2009,34002,80+,523
2009,40802,9-Jan,2
2009,40802,19-Oct,6
2009,40802,20-29,16
2009,40802,30-39,30
2009,40802,40-49,64
2009,40802,50-59,98
2009,40802,60-69,122
2009,40802,70-79,174
2009,40802,80+,221
2009,40875,Under 1,1006
2009,40875,9-Jan,44
2009,40875,19-Oct,152
2009,40875,20-29,736
2009,40875,30-39,478
2009,40875,40-49,369
2009,40875,50-59,618
2009,40875,60-69,664
2009,40875,70-79,730
2009,40875,80+,1112
2009,40937,Under 1,695
2009,40937,9-Jan,168
2009,40937,19-Oct,276
2009,40937,20-29,678
2009,40937,30-39,624
2009,40937,40-49,1134
2009,40937,50-59,1372
2009,40937,60-69,1434
2009,40937,70-79,1453
2009,40937,80+,1583
2009,40962,Under 1,1534
2009,40962,9-Jan,152
2009,40962,19-Oct,423
2009,40962,20-29,1565
2009,40962,30-39,1236
2009,40962,40-49,1481
2009,40962,50-59,2218
2009,40962,60-69,2306
2009,40962,70-79,2276
2009,40962,80+,2899
2009,44006,19-Oct,22
2009,44006,20-29,170
2009,44006,30-39,127
2009,44006,40-49,160
2009,44006,50-59,88
2009,44006,60-69,40
2009,44006,70-79,2
2009,50932,9-Jan,1
2009,50932,19-Oct,27
2009,50932,20-29,60
2009,50932,30-39,51
2009,50932,40-49,147
2009,50932,50-59,238
2009,50932,60-69,332
