Year,OSHPD ID,Principal Diagnosis Group,Count
2009,10735,Infections,243
2009,10735,Neoplasms,68
2009,10735,Endocrine/Metabolism,99
2009,10735,Blood/Blood-forming Organs,54
2009,10735,Psychoses & Neurosis,33
2009,10735,Nervous & Sensory Systems,45
2009,10735,Circulatory,563
2009,10735,Respiratory,408
2009,10735,Digestive,548
2009,10735,Genitourinary,168
2009,10735,All Pregnancies,12
2009,10735,Skin Disorders,85
2009,10735,Musculoskeletal,78
2009,10735,Congenital Anomalies (Birth Defects),2
2009,10735,Symptoms,181
2009,10735,Injuries/Drugs/Complications,204
2009,10735,Other Reasons for Health Services,51
2009,10739,Infections,591
2009,10739,Neoplasms,706
2009,10739,Endocrine/Metabolism,342
2009,10739,Blood/Blood-forming Organs,244
2009,10739,Psychoses & Neurosis,113
2009,10739,Nervous & Sensory Systems,283
2009,10739,Circulatory,1570
2009,10739,Respiratory,837
2009,10739,Digestive,1168
2009,10739,Genitourinary,622
2009,10739,All Pregnancies,8399
2009,10739,Skin Disorders,275
2009,10739,Musculoskeletal,783
2009,10739,Congenital Anomalies (Birth Defects),5
2009,10739,Perinatal Disorders,81
2009,10739,Symptoms,529
2009,10739,Injuries/Drugs/Complications,880
2009,10739,Other Reasons for Health Services,104
2009,10739,Births,7658
2009,10776,Infections,428
2009,10776,Neoplasms,204
2009,10776,Endocrine/Metabolism,440
2009,10987,Genitourinary,575
2009,10776,Blood/Blood-forming Organs,501
2009,10776,Psychoses & Neurosis,41
2009,10776,Nervous & Sensory Systems,537
2009,10776,Circulatory,160
2009,10776,Respiratory,2732
2009,10776,Digestive,1024
2009,10776,Genitourinary,434
2009,10776,Skin Disorders,418
2009,10776,Musculoskeletal,359
2009,10776,Congenital Anomalies (Birth Defects),679
2009,10776,Perinatal Disorders,532
2009,10776,Symptoms,549
2009,10776,Injuries/Drugs/Complications,1333
2009,10776,Other Reasons for Health Services,539
2009,10782,Psychoses & Neurosis,136
2009,10805,Infections,636
2009,10805,Neoplasms,325
2009,10805,Endocrine/Metabolism,237
2009,10805,Blood/Blood-forming Organs,90
2009,10805,Psychoses & Neurosis,505
2009,10805,Nervous & Sensory Systems,188
2009,10805,Circulatory,1003
2009,10805,Respiratory,636
2009,10805,Digestive,727
2009,10805,Genitourinary,439
2009,10805,All Pregnancies,1299
2009,10805,Skin Disorders,133
2009,10805,Musculoskeletal,600
2009,10805,Congenital Anomalies (Birth Defects),6
2009,10805,Perinatal Disorders,29
2009,10805,Symptoms,243
2009,10805,Injuries/Drugs/Complications,1341
2009,10805,Other Reasons for Health Services,505
2009,10805,Births,1156
2009,10844,Neoplasms,1
2009,10844,Endocrine/Metabolism,1
2009,10844,Psychoses & Neurosis,2792
2009,10844,Nervous & Sensory Systems,2
2009,10844,Respiratory,10
2009,10844,All Pregnancies,32
2009,10844,Symptoms,1
2009,10844,Injuries/Drugs/Complications,4
2009,10844,Other Reasons for Health Services,728
2009,10846,Infections,325
2009,10846,Neoplasms,518
2009,10846,Endocrine/Metabolism,414
2009,10846,Blood/Blood-forming Organs,96
2009,10846,Psychoses & Neurosis,3452
2009,10846,Nervous & Sensory Systems,215
2009,10846,Circulatory,1116
2009,10846,Respiratory,730
2009,10846,Digestive,1113
2009,10846,Genitourinary,474
2009,10846,All Pregnancies,1623
2009,10846,Skin Disorders,325
2009,10846,Musculoskeletal,330
2009,10846,Congenital Anomalies (Birth Defects),17
2009,10846,Perinatal Disorders,44
2009,10846,Symptoms,563
2009,10846,Injuries/Drugs/Complications,1296
2009,10846,Other Reasons for Health Services,715
2009,10846,Births,1365
2009,10856,Infections,791
2009,10856,Neoplasms,1445
2009,10856,Endocrine/Metabolism,844
2009,10856,Blood/Blood-forming Organs,281
2009,10856,Psychoses & Neurosis,163
2009,10856,Nervous & Sensory Systems,425
2009,10856,Circulatory,2170
2009,10856,Respiratory,1333
2009,10856,Digestive,1735
2009,10856,Genitourinary,794
2009,10856,All Pregnancies,2496
2009,10856,Skin Disorders,403
2009,10856,Musculoskeletal,2167
2009,10856,Congenital Anomalies (Birth Defects),230
2009,10856,Perinatal Disorders,110
2009,10856,Symptoms,641
2009,10856,Injuries/Drugs/Complications,1580
2009,10856,Other Reasons for Health Services,308
2009,10856,Births,2225
2009,10858,Infections,950
2009,10858,Neoplasms,795
2009,10858,Endocrine/Metabolism,1009
2009,10858,Blood/Blood-forming Organs,189
2009,10858,Psychoses & Neurosis,117
2009,10858,Nervous & Sensory Systems,241
2009,10858,Circulatory,2230
2009,10858,Respiratory,1574
2009,10858,Digestive,1978
2009,10858,Genitourinary,864
2009,10858,All Pregnancies,2907
2009,10858,Skin Disorders,283
2009,10858,Musculoskeletal,817
2009,10858,Congenital Anomalies (Birth Defects),59
2009,10858,Perinatal Disorders,79
2009,10858,Symptoms,644
2009,10858,Injuries/Drugs/Complications,1268
2009,10858,Other Reasons for Health Services,100
2009,10858,Births,2709
2009,10887,Infections,17
2009,10887,Endocrine/Metabolism,10
2009,10887,Nervous & Sensory Systems,1
2009,10887,Circulatory,4
2009,10887,Respiratory,314
2009,10887,Digestive,4
2009,10887,Genitourinary,2
2009,10887,Skin Disorders,75
2009,10887,Musculoskeletal,15
2009,10887,Injuries/Drugs/Complications,17
2009,10887,Other Reasons for Health Services,4
2009,10937,Infections,798
2009,10937,Neoplasms,901
2009,10937,Endocrine/Metabolism,827
2009,10937,Blood/Blood-forming Organs,302
2009,10937,Psychoses & Neurosis,104
2009,10937,Nervous & Sensory Systems,255
2009,10937,Circulatory,4258
2009,10937,Respiratory,1322
2009,10937,Digestive,1322
2009,10937,Genitourinary,548
2009,10937,All Pregnancies,19
2009,10937,Skin Disorders,249
2009,10937,Musculoskeletal,800
2009,10937,Congenital Anomalies (Birth Defects),32
2009,10937,Symptoms,835
2009,10937,Injuries/Drugs/Complications,1050
2009,10937,Other Reasons for Health Services,942
2009,10967,Infections,459
2009,10967,Neoplasms,215
2009,10967,Endocrine/Metabolism,351
2009,10967,Blood/Blood-forming Organs,60
2009,10967,Psychoses & Neurosis,89
2009,10967,Nervous & Sensory Systems,94
2009,10967,Circulatory,1167
2009,10967,Respiratory,810
2009,10967,Digestive,878
2009,10967,Genitourinary,339
2009,10967,All Pregnancies,1399
2009,10967,Skin Disorders,144
2009,10967,Musculoskeletal,286
2009,10967,Congenital Anomalies (Birth Defects),5
2009,10967,Perinatal Disorders,19
2009,10967,Symptoms,584
2009,10967,Injuries/Drugs/Complications,469
2009,10967,Other Reasons for Health Services,243
2009,10967,Births,1281
2009,10987,Infections,545
2009,10987,Neoplasms,454
2009,10987,Endocrine/Metabolism,479
2009,10987,Blood/Blood-forming Organs,151
2009,10987,Psychoses & Neurosis,83
2009,10987,Nervous & Sensory Systems,214
2009,10987,Circulatory,2360
2009,10987,Respiratory,1268
2009,10987,Digestive,1315
2009,10987,All Pregnancies,2558
2009,10987,Skin Disorders,276
2009,10987,Musculoskeletal,1495
2009,10987,Congenital Anomalies (Birth Defects),13
2009,10987,Perinatal Disorders,78
2009,10987,Symptoms,446
2009,10987,Injuries/Drugs/Complications,913
2009,10987,Other Reasons for Health Services,59
2009,10987,Births,2413
2009,13619,Infections,298
2009,13619,Neoplasms,121
2009,13619,Endocrine/Metabolism,270
2009,13619,Blood/Blood-forming Organs,91
2009,13619,Psychoses & Neurosis,60
2009,13619,Nervous & Sensory Systems,68
2009,13619,Circulatory,968
2009,13619,Respiratory,581
2009,13619,Digestive,592
2009,13619,Genitourinary,277
2009,13619,All Pregnancies,6
2009,13619,Skin Disorders,96
2009,13619,Musculoskeletal,156
2009,13619,Congenital Anomalies (Birth Defects),4
2009,13619,Symptoms,218
2009,13619,Injuries/Drugs/Complications,406
2009,13619,Other Reasons for Health Services,11
2009,13687,Psychoses & Neurosis,588
2009,13687,All Pregnancies,2
2009,13687,Symptoms,1
2009,14034,Psychoses & Neurosis,3438
2009,14050,Infections,360
2009,14050,Neoplasms,213
2009,14050,Endocrine/Metabolism,357
2009,14050,Blood/Blood-forming Organs,58
2009,14050,Psychoses & Neurosis,194
2009,14050,Nervous & Sensory Systems,203
2009,14050,Circulatory,1005
2009,14050,Respiratory,884
2009,14050,Digestive,762
2009,14050,Genitourinary,350
2009,14050,All Pregnancies,1490
2009,14050,Skin Disorders,165
2009,14050,Musculoskeletal,790
2009,14050,Congenital Anomalies (Birth Defects),13
2009,14050,Perinatal Disorders,59
2009,14050,Symptoms,290
2009,14050,Injuries/Drugs/Complications,514
2009,14050,Other Reasons for Health Services,307
2009,14050,Births,1408
2009,14207,Psychoses & Neurosis,1272
2009,14226,Endocrine/Metabolism,1
2009,14226,Psychoses & Neurosis,647
2009,14226,Respiratory,1
2009,34002,Infections,84
