Year,OSHPD ID,Disposition,Count
2009,10735,Routine (Home),1479
2009,10735,Acute Care (This Hospital),29
2009,10735,Skilled Nursing/IC (This Hospital),113
2009,10735,Acute Care (Another Hospital),95
2009,10735,Other Care (Another Hospital),6
2009,10735,Skilled Nursing/IC (Elsewhere),675
2009,10735,Residential Care Facility,29
2009,10735,Prison/Jail,1
2009,10735,Against Medical Advice,39
2009,10735,Died,103
2009,10735,Home Health Service,260
2009,10735,Other,13
2009,10739,Routine (Home),19737
2009,10739,Acute Care (Another Hospital),207
2009,10739,Other Care (Another Hospital),539
2009,10739,Skilled Nursing/IC (Elsewhere),1282
2009,10739,Residential Care Facility,49
2009,10739,Prison/Jail,3
2009,10739,Against Medical Advice,159
2009,10739,Died,305
2009,10739,Home Health Service,2869
2009,10739,Other,40
2009,10776,Routine (Home),10563
2009,10776,Acute Care (This Hospital),21
2009,10776,Other Care (This Hospital),55
2009,10776,Acute Care (Another Hospital),148
2009,10776,Other Care (Another Hospital),9
2009,10776,Skilled Nursing/IC (Elsewhere),13
2009,10776,Residential Care Facility,5
2009,10776,Prison/Jail,1
2009,10776,Against Medical Advice,21
2009,10776,Died,67
2009,10776,Home Health Service,7
2009,10782,Routine (Home),90
2009,10782,Prison/Jail,4
2009,10782,Against Medical Advice,42
2009,10805,Routine (Home),6548
2009,10805,Acute Care (This Hospital),48
2009,10805,Other Care (This Hospital),308
2009,10805,Skilled Nursing/IC (This Hospital),1
2009,10805,Acute Care (Another Hospital),276
2009,10805,Other Care (Another Hospital),143
2009,10805,Skilled Nursing/IC (Elsewhere),1227
2009,10805,Residential Care Facility,182
2009,10805,Prison/Jail,20
2009,10805,Against Medical Advice,138
2009,10805,Died,284
2009,10805,Home Health Service,923
2009,10844,Routine (Home),2438
2009,10844,Other Care (This Hospital),1
2009,10844,Acute Care (Another Hospital),128
2009,10844,Other Care (Another Hospital),33
2009,10844,Skilled Nursing/IC (Elsewhere),99
2009,10844,Residential Care Facility,193
2009,10844,Prison/Jail,7
