Year,OSHPD ID,Principal Injury Group,Count
2009,10735,Rail & Motor Vehicles,2
2009,10735,Accidental Poisoning,9
2009,10735,Misadventures/Complications,109
2009,10735,Accidental Falls,159
2009,10735,Natural/Environment,3
2009,10735,Submersion/Suffocation/Foreign Body,5
2009,10735,Other Accidents,12
2009,10735,Adverse Effects of Drugs,59
2009,10735,Self-Inflicted,10
2009,10735,Inflicted by Others,1
2009,10735,Late Effects of Injury,20
2009,10739,Rail & Motor Vehicles,22
2009,10739,Other Vehicle/Transport,26
2009,10739,Accidental Poisoning,71
2009,10739,Misadventures/Complications,31
2009,10739,Accidental Falls,427
2009,10739,Fire Accidents,2
2009,10739,Natural/Environment,10
2009,10739,Submersion/Suffocation/Foreign Body,22
2009,10739,Other Accidents,108
2009,10739,Adverse Effects of Drugs,730
2009,10739,Self-Inflicted,42
2009,10739,Inflicted by Others,22
2009,10739,Undetermined,4
2009,10739,Late Effects of Injury,26
2009,10776,Rail & Motor Vehicles,116
2009,10776,Other Vehicle/Transport,13
2009,10776,Accidental Poisoning,39
2009,10776,Misadventures/Complications,18
2009,10776,Accidental Falls,202
2009,10776,Natural/Environment,26
2009,10776,Submersion/Suffocation/Foreign Body,134
2009,10776,Other Accidents,132
2009,10776,Adverse Effects of Drugs,488
2009,10776,Self-Inflicted,20
2009,10776,Inflicted by Others,40
2009,10776,Undetermined,15
2009,10776,Late Effects of Injury,26
2009,10805,Rail & Motor Vehicles,350
2009,10805,Other Vehicle/Transport,39
2009,10805,Accidental Poisoning,76
2009,10805,Misadventures/Complications,31
2009,10805,Accidental Falls,568
2009,10805,Fire Accidents,1
2009,10805,Natural/Environment,18
2009,10805,Submersion/Suffocation/Foreign Body,31
2009,10805,Other Accidents,118
2009,10805,Adverse Effects of Drugs,472
2009,10805,Self-Inflicted,116
2009,10805,Inflicted by Others,157
2009,10805,Undetermined,10
2009,10805,Late Effects of Injury,63
2009,10844,Other Vehicle/Transport,1
2009,10844,Accidental Poisoning,10
2009,10844,Accidental Falls,14
