Year,Oshpd_ID,Facility_Name,Type_Of_Control,County_Name,Admission_Source_Route,Count
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Your Emergency Room,2400
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Not Your Emergency Room (or No ER),442
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Your Emergency Room,6909
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),18281
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Your Emergency Room,7417
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),3493
2009,010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),136
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Your Emergency Room,5817
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),4281
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),3571
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Your Emergency Room,7448
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Not Your Emergency Room (or No ER),7283
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Your Emergency Room,8389
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),11752
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Your Emergency Room,9088
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),9726
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Investor,ALAMEDA,Not Your Emergency Room (or No ER),463
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Your Emergency Room,8195
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),6369
2009,010967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Your Emergency Room,5317
2009,010967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),3575
2009,010987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Your Emergency Room,6785
2009,010987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Not Your Emergency Room (or No ER),8910
2009,013619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Your Emergency Room,3653
