Year,Oshpd_ID,Facility_Name,Type_Of_Control,County_Name,Admission_Type,Count
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Scheduled,404
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Unscheduled,2438
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Scheduled,1652
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Unscheduled,15869
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,"Infant, under 24 hrs old",7669
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Scheduled,2275
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Unscheduled,8477
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,"Infant, under 24 hrs old",145
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Unknown,13
2009,010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Non-Profit,ALAMEDA,Scheduled,136
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Scheduled,2114
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Unscheduled,6828
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,"Infant, under 24 hrs old",1156
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Scheduled,729
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Unscheduled,2835
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Unknown,7
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Scheduled,1550
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Unscheduled,11827
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,"Infant, under 24 hrs old",1354
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Scheduled,4850
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Unscheduled,13023
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,"Infant, under 24 hrs old",2266
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Unknown,2
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Scheduled,3268
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Unscheduled,12835
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,"Infant, under 24 hrs old",2711
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Investor,ALAMEDA,Scheduled,463
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Scheduled,3446
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Unscheduled,11118
2009,010967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Scheduled,1076
2009,010967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Unscheduled,6535
