Year,OSHPD Facility Number,Facility Name,Type Of Control,County Name,Discharge Days,Count
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Discharge Days,15583
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Discharge Days,103047
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Discharge Days,57969
2009,010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Non-Profit,ALAMEDA,Discharge Days,9035
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Discharge Days,47242
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Discharge Days,42561
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Discharge Days,130317
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Discharge Days,90619
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Discharge Days,68114
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Investor,ALAMEDA,Discharge Days,20086
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Discharge Days,80910
2009,010967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Discharge Days,43459
2009,010987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Discharge Days,68460
2009,013619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Discharge Days,17297
2009,013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Non-Profit,ALAMEDA,Discharge Days,7103
2009,014034,FREMONT HOSPITAL,Investor,ALAMEDA,Discharge Days,28724
2009,014050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Discharge Days,47799
2009,014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,Investor,ALAMEDA,Discharge Days,7348
2009,014226,TELECARE WILLOW ROCK CENTER,Investor,ALAMEDA,Discharge Days,3358
2009,034002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Discharge Days,9057
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Discharge Days,3775
2009,040875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Discharge Days,22186
