Year,OSHPD ID,Facility Name,County Name,Type of Control,Disposition,Count
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Routine (Home),1479
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Acute Care (This Hospital),29
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Skilled Nursing/IC (This Hospital),113
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Acute Care (Another Hospital),95
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Other Care (Another Hospital),6
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Skilled Nursing/IC (Elsewhere),675
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Residential Care Facility,29
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Prison/Jail,1
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Against Medical Advice,39
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Died,103
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Home Health Service,260
2009,10735,ALAMEDA HOSPITAL,ALAMEDA,District,Other,13
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Routine (Home),19737
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Acute Care (Another Hospital),207
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Other Care (Another Hospital),539
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Skilled Nursing/IC (Elsewhere),1282
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Residential Care Facility,49
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Prison/Jail,3
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Against Medical Advice,159
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Died,305
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Home Health Service,2869
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Other,40
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Routine (Home),10563
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Acute Care (This Hospital),21
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Other Care (This Hospital),55
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Acute Care (Another Hospital),148
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Other Care (Another Hospital),9
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Skilled Nursing/IC (Elsewhere),13
