Year,Oshpd_ID,Facility_Name,Type_Of_Control,County_Name,Principal_Procedure_Group,Count
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Nervous System,21
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Endocrine System,2
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Eye,2
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Nose/Mouth/Pharynx,1
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Respiratory,43
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Cardiovascular,126
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Blood/Lymph Organs,2
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Digestive,273
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Urinary,1
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Male Reproductive Organs,3
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Female Reproductive Organs,36
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Musculoskeletal,271
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Skin,77
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Diagnostic/Therapeutic,394
2009,10735,ALAMEDA HOSPITAL,District,ALAMEDA,Other Interventions,5
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Nervous System,346
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Endocrine System,23
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Eye,8
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Ear,1
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Nose/Mouth/Pharynx,27
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Respiratory,206
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Cardiovascular,1316
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Blood/Lymph Organs,68
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Digestive,1139
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Urinary,145
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Male Reproductive Organs,252
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Female Reproductive Organs,514
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,OB Procedures,7591
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Musculoskeletal,936
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Skin,320
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,6953
2009,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Other Interventions,27
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Nervous System,730
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Endocrine System,20
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Eye,39
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Ear,49
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Nose/Mouth/Pharynx,257
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Respiratory,189
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Cardiovascular,435
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Blood/Lymph Organs,89
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Digestive,939
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Urinary,67
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Male Reproductive Organs,37
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Female Reproductive Organs,40
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Musculoskeletal,689
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Skin,293
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,1386
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Nervous System,303
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Endocrine System,11
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Eye,13
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Ear,4
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Nose/Mouth/Pharynx,24
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Respiratory,174
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Cardiovascular,487
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Blood/Lymph Organs,16
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Digestive,641
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Urinary,73
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Male Reproductive Organs,108
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Female Reproductive Organs,221
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,OB Procedures,1150
