Year,OSHPD Facility Number,Facility Name,County Name,Type Of Control,Type Of Care,Count
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Acute,2737
2009,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Skilled Nursing/Intermediate Care,105
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Acute,25190
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Acute,10727
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Physical Rehabilitation,183
2009,010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Chemical Dependency,136
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Acute,9216
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Psychiatric,409
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Physical Rehabilitation,473
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Skilled Nursing/Intermediate Care,14
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Psychiatric,2829
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Physical Rehabilitation,728
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Acute,10827
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Skilled Nursing/Intermediate Care,163
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Psychiatric,3246
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Physical Rehabilitation,495
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Acute,20141
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Acute,18814
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Acute,463
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Acute,13733
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Skilled Nursing/Intermediate Care,831
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Acute,8591
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Skilled Nursing/Intermediate Care,301
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Acute,15695
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Acute,4222
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Unknown,1
2009,013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Chemical Dependency,591
2009,014034,FREMONT HOSPITAL,ALAMEDA,Investor,Acute,1
2009,014034,FREMONT HOSPITAL,ALAMEDA,Investor,Psychiatric,3437
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Acute,8782
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Skilled Nursing/Intermediate Care,422
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Psychiatric,218
2009,014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,ALAMEDA,Investor,Psychiatric,1272
2009,014226,TELECARE WILLOW ROCK CENTER,ALAMEDA,Investor,Psychiatric,649
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Acute,2658
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Acute,667
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Skilled Nursing/Intermediate Care,66
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Acute,5909
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Acute,8958
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Skilled Nursing/Intermediate Care,459
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Acute,14871
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Psychiatric,615
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Physical Rehabilitation,604
