Year,OSHPD ID,Principal_Procedure_Group,Count
2009,10735,Nervous System,21
2009,10735,Endocrine System,2
2009,10735,Eye,2
2009,10735,Nose/Mouth/Pharynx,1
2009,10735,Respiratory,43
2009,10735,Cardiovascular,126
2009,10735,Blood/Lymph Organs,2
2009,10735,Digestive,273
2009,10735,Urinary,1
2009,10735,Male Reproductive Organs,3
2009,10735,Female Reproductive Organs,36
2009,10735,Musculoskeletal,271
2009,10735,Skin,77
2009,10735,Diagnostic/Therapeutic,394
2009,10735,Other Interventions,5
2009,10739,Nervous System,346
2009,10739,Endocrine System,23
2009,10739,Eye,8
2009,10739,Ear,1
2009,10739,Nose/Mouth/Pharynx,27
2009,10739,Respiratory,206
2009,10739,Cardiovascular,1316
2009,10739,Blood/Lymph Organs,68
2009,10739,Digestive,1139
2009,10739,Urinary,145
2009,10739,Male Reproductive Organs,252
2009,10739,Female Reproductive Organs,514
2009,10739,OB Procedures,7591
2009,10739,Musculoskeletal,936
2009,10739,Skin,320
2009,10739,Diagnostic/Therapeutic,6953
2009,10739,Other Interventions,27
2009,10776,Nervous System,730
2009,10776,Endocrine System,20
2009,10776,Eye,39
2009,10776,Ear,49
2009,10776,Nose/Mouth/Pharynx,257
2009,10776,Respiratory,189
2009,10776,Cardiovascular,435
2009,10776,Blood/Lymph Organs,89
2009,10776,Digestive,939
2009,10776,Urinary,67
2009,10776,Male Reproductive Organs,37
2009,10776,Female Reproductive Organs,40
2009,10776,Musculoskeletal,689
2009,10776,Skin,293
2009,10776,Diagnostic/Therapeutic,1386
2009,10805,Nervous System,303
2009,10805,Endocrine System,11
2009,10805,Eye,13
2009,10805,Ear,4
2009,10805,Nose/Mouth/Pharynx,24
2009,10805,Respiratory,174
2009,10805,Cardiovascular,487
2009,10805,Blood/Lymph Organs,16
2009,10805,Digestive,641
2009,10805,Urinary,73
2009,10805,Male Reproductive Organs,108
2009,10805,Female Reproductive Organs,221
2009,10805,OB Procedures,1150
2009,10805,Musculoskeletal,748
2009,10805,Skin,254
2009,10805,Diagnostic/Therapeutic,1296
2009,10805,Other Interventions,19
2009,10844,Cardiovascular,18
2009,10844,Digestive,2
2009,10844,Musculoskeletal,1
2009,10844,Skin,1
2009,10844,Diagnostic/Therapeutic,877
2009,10846,Nervous System,236
2009,10846,Endocrine System,30
2009,10846,Eye,27
2009,10846,Ear,4
2009,10846,Nose/Mouth/Pharynx,43
2009,10846,Respiratory,218
2009,10846,Cardiovascular,554
2009,10846,Blood/Lymph Organs,41
2009,10846,Digestive,1075
2009,10846,Urinary,98
2009,10846,Male Reproductive Organs,43
2009,10846,Female Reproductive Organs,267
2009,10846,OB Procedures,1386
2009,10846,Musculoskeletal,532
2009,10846,Skin,347
2009,10846,Diagnostic/Therapeutic,5063
2009,10856,Nervous System,616
2009,10856,Endocrine System,65
2009,10856,Eye,13
2009,10856,Ear,11
2009,10856,Nose/Mouth/Pharynx,101
2009,10856,Respiratory,302
2009,10856,Cardiovascular,801
2009,10856,Blood/Lymph Organs,132
2009,10856,Digestive,1865
2009,10856,Urinary,223
2009,10856,Male Reproductive Organs,568
2009,10856,Female Reproductive Organs,482
2009,10856,OB Procedures,2308
2009,10856,Musculoskeletal,2382
2009,10856,Skin,426
2009,10856,Diagnostic/Therapeutic,6891
2009,10856,Other Interventions,173
2009,10858,Nervous System,152
2009,10858,Endocrine System,57
2009,10858,Eye,13
2009,10858,Ear,4
2009,10858,Nose/Mouth/Pharynx,79
2009,10858,Respiratory,261
2009,10858,Cardiovascular,807
2009,10858,Blood/Lymph Organs,74
2009,10858,Digestive,2261
2009,10858,Urinary,216
2009,10858,Male Reproductive Organs,796
2009,10858,Female Reproductive Organs,335
2009,10858,OB Procedures,2693
2009,10858,Musculoskeletal,1387
2009,10858,Skin,336
2009,10858,Diagnostic/Therapeutic,4998
2009,10858,Other Interventions,45
2009,10887,Respiratory,15
2009,10887,Cardiovascular,19
2009,10887,Blood/Lymph Organs,1
2009,10887,Digestive,17
2009,10887,Musculoskeletal,29
