Year,OSHPD ID,Race Group,Count
2009,10735,White,1446
2009,10735,Black,337
2009,10735,Hispanic,204
2009,10735,Asian/Pacific Islander,456
2009,10735,Other,254
2009,10735,Unknown,145
2009,10739,White,7932
2009,10739,Black,6573
2009,10739,Hispanic,5220
2009,10739,Asian/Pacific Islander,3283
2009,10739,Native American/Eskimo/Aleut,32
2009,10739,Other,1806
2009,10739,Unknown,344
2009,10776,White,2154
2009,10776,Black,2228
2009,10776,Hispanic,3724
2009,10776,Asian/Pacific Islander,749
2009,10776,Native American/Eskimo/Aleut,8
2009,10776,Other,1946
2009,10776,Unknown,101
2009,10782,White,60
2009,10782,Black,25
2009,10782,Hispanic,37
2009,10782,Asian/Pacific Islander,4
2009,10782,Other,10
2009,10805,White,5619
2009,10805,Black,1175
2009,10805,Hispanic,2025
2009,10805,Asian/Pacific Islander,1135
2009,10805,Native American/Eskimo/Aleut,23
2009,10805,Other,118
2009,10805,Unknown,3
2009,10844,White,1774
2009,10844,Black,934
2009,10844,Hispanic,202
2009,10844,Asian/Pacific Islander,233
2009,10844,Native American/Eskimo/Aleut,4
2009,10844,Other,149
2009,10844,Unknown,275
2009,10846,White,2688
2009,10846,Black,5668
2009,10846,Hispanic,3937
2009,10846,Asian/Pacific Islander,1581
2009,10846,Native American/Eskimo/Aleut,38
2009,10846,Other,807
2009,10846,Unknown,12
2009,10856,White,7546
2009,10856,Black,6324
2009,10856,Hispanic,2971
2009,10856,Asian/Pacific Islander,2649
2009,10856,Native American/Eskimo/Aleut,69
2009,10856,Other,396
2009,10856,Unknown,186
2009,10858,White,7893
2009,10858,Black,1977
2009,10858,Hispanic,4229
2009,10858,Asian/Pacific Islander,4383
2009,10858,Native American/Eskimo/Aleut,63
2009,10858,Other,228
2009,10858,Unknown,41
2009,10887,White,203
2009,10887,Black,90
2009,10887,Hispanic,43
2009,10887,Asian/Pacific Islander,36
2009,10887,Native American/Eskimo/Aleut,1
2009,10887,Other,90
2009,10937,White,4753
2009,10937,Black,5450
2009,10937,Hispanic,794
2009,10937,Asian/Pacific Islander,2050
2009,10937,Native American/Eskimo/Aleut,21
2009,10937,Other,1009
2009,10937,Unknown,487
2009,10967,White,3038
2009,10967,Black,1183
2009,10967,Hispanic,2651
2009,10967,Asian/Pacific Islander,1806
2009,10967,Native American/Eskimo/Aleut,2
2009,10967,Other,212
2009,10987,White,7898
2009,10987,Black,604
2009,10987,Hispanic,1782
2009,10987,Asian/Pacific Islander,4996
2009,10987,Native American/Eskimo/Aleut,12
2009,10987,Other,371
2009,10987,Unknown,32
2009,13619,White,1682
2009,13619,Black,1524
2009,13619,Hispanic,508
2009,13619,Asian/Pacific Islander,390
2009,13619,Native American/Eskimo/Aleut,27
2009,13619,Other,65
2009,13619,Unknown,27
2009,13687,White,430
2009,13687,Black,58
2009,13687,Hispanic,31
2009,13687,Asian/Pacific Islander,7
2009,13687,Native American/Eskimo/Aleut,2
2009,13687,Other,11
2009,13687,Unknown,52
2009,14034,White,1881
2009,14034,Black,345
2009,14034,Hispanic,689
2009,14034,Asian/Pacific Islander,510
2009,14034,Native American/Eskimo/Aleut,11
2009,14034,Other,2
2009,14050,White,6550
2009,14050,Black,344
2009,14050,Hispanic,1171
2009,14050,Asian/Pacific Islander,995
2009,14050,Native American/Eskimo/Aleut,13
2009,14050,Other,291
2009,14050,Unknown,58
2009,14207,White,838
2009,14207,Black,202
2009,14207,Hispanic,104
2009,14207,Asian/Pacific Islander,97
2009,14207,Native American/Eskimo/Aleut,7
2009,14207,Other,21
2009,14207,Unknown,3
2009,14226,White,220
2009,14226,Black,222
2009,14226,Hispanic,134
2009,14226,Asian/Pacific Islander,33
2009,14226,Native American/Eskimo/Aleut,4
