Year,OSHPD ID,Type Of Care,Count
2009,10735,Acute,2737
2009,10735,Skilled Nursing/Intermediate Care,105
2009,10739,Acute,25190
2009,10776,Acute,10727
2009,10776,Physical Rehabilitation,183
2009,10782,Chemical Dependency,136
2009,10805,Acute,9216
2009,10805,Psychiatric,409
2009,10805,Physical Rehabilitation,473
2009,10844,Skilled Nursing/Intermediate Care,14
2009,10844,Psychiatric,2829
2009,10844,Physical Rehabilitation,728
2009,10846,Acute,10827
2009,10846,Skilled Nursing/Intermediate Care,163
2009,10846,Psychiatric,3246
2009,10846,Physical Rehabilitation,495
2009,10856,Acute,20141
2009,10858,Acute,18814
2009,10887,Acute,463
2009,10937,Acute,13733
2009,10937,Skilled Nursing/Intermediate Care,831
2009,10967,Acute,8591
2009,10967,Skilled Nursing/Intermediate Care,301
2009,10987,Acute,15695
2009,13619,Acute,4222
2009,13619,Unknown,1
2009,13687,Chemical Dependency,591
2009,14034,Acute,1
2009,14034,Psychiatric,3437
2009,14050,Acute,8782
2009,14050,Skilled Nursing/Intermediate Care,422
2009,14050,Psychiatric,218
2009,14207,Psychiatric,1272
2009,14226,Psychiatric,649
2009,34002,Acute,2658
2009,40802,Acute,667
2009,40802,Skilled Nursing/Intermediate Care,66
2009,40875,Acute,5909
2009,40937,Acute,8958
2009,40937,Skilled Nursing/Intermediate Care,459
2009,40962,Acute,14871
2009,40962,Psychiatric,615
2009,40962,Physical Rehabilitation,604
2009,44006,Psychiatric,609
2009,50932,Acute,1517
2009,50932,Skilled Nursing/Intermediate Care,21
2009,60870,Acute,1308
2009,60870,Skilled Nursing/Intermediate Care,84
2009,70904,Acute,6277
2009,70924,Acute,11044
2009,70924,Psychiatric,804
2009,70934,Acute,8437
2009,70988,Acute,19553
2009,70988,Physical Rehabilitation,467
2009,70990,Acute,18968
2009,71018,Acute,9055
2009,74017,Acute,5579
2009,74039,Psychiatric,2053
2009,74039,Chemical Dependency,723
2009,74097,Acute,9046
2009,84001,Acute,2776
2009,90793,Acute,2965
2009,90793,Skilled Nursing/Intermediate Care,73
2009,90933,Acute,6027
2009,90933,Skilled Nursing/Intermediate Care,438
2009,94002,Psychiatric,337
2009,100005,Acute,13138
2009,100005,Physical Rehabilitation,1
2009,100697,Acute,1174
2009,100697,Skilled Nursing/Intermediate Care,104
2009,100717,Acute,38296
2009,100717,Skilled Nursing/Intermediate Care,304
2009,100717,Psychiatric,2963
2009,100717,Physical Rehabilitation,598
2009,100745,Acute,1
2009,100745,Skilled Nursing/Intermediate Care,44
2009,100797,Acute,4052
2009,100797,Skilled Nursing/Intermediate Care,4
2009,100899,Acute,27686
2009,104023,Acute,1394
2009,104047,Acute,2280
2009,104062,Acute,8764
2009,104089,Psychiatric,897
2009,105029,Acute,3633
2009,110889,Acute,290
2009,110889,Skilled Nursing/Intermediate Care,15
2009,121002,Acute,2579
2009,121031,Acute,55
2009,121031,Skilled Nursing/Intermediate Care,28
2009,121051,Acute,2044
2009,121051,Skilled Nursing/Intermediate Care,32
2009,121080,Acute,7136
2009,121080,Physical Rehabilitation,145
2009,124004,Psychiatric,637
2009,130699,Acute,7613
2009,130760,Acute,7458
2009,141273,Acute,1286
2009,141338,Acute,20
2009,141338,Skilled Nursing/Intermediate Care,29
2009,150706,Acute,4798
2009,150706,Skilled Nursing/Intermediate Care,30
2009,150722,Acute,19966
2009,150722,Skilled Nursing/Intermediate Care,237
2009,150736,Acute,14730
2009,150736,Psychiatric,780
2009,150737,Acute,747
2009,150737,Skilled Nursing/Intermediate Care,184
2009,150761,Acute,14883
2009,150775,Acute,1494
2009,150775,Psychiatric,2031
2009,150775,Chemical Dependency,189
2009,150782,Acute,3246
2009,150788,Acute,19533
2009,150808,Acute,207
2009,150808,Skilled Nursing/Intermediate Care,19
2009,154022,Physical Rehabilitation,1478
2009,154101,Acute,3823
2009,154147,Psychiatric,594
2009,160702,Acute,339
2009,160725,Acute,10650
2009,160787,Acute,6321
2009,171049,Acute,1889
2009,171049,Skilled Nursing/Intermediate Care,35
2009,171395,Acute,2461
2009,171395,Skilled Nursing/Intermediate Care,108
2009,184008,Acute,1699
2009,190017,Acute,3659
2009,190017,Skilled Nursing/Intermediate Care,23
2009,190017,Physical Rehabilitation,199
2009,190020,Psychiatric,4019
2009,190034,Acute,29351
2009,190034,Psychiatric,633
2009,190045,Acute,25
2009,190045,Skilled Nursing/Intermediate Care,10
2009,190049,Acute,724
2009,190052,Acute,696
2009,190053,Acute,13800
2009,190053,Physical Rehabilitation,606
2009,190066,Acute,5027
2009,190066,Psychiatric,1138
2009,190081,Acute,10599
2009,190110,Acute,5241
2009,190110,Skilled Nursing/Intermediate Care,441
2009,190110,Psychiatric,1255
2009,190110,Chemical Dependency,954
2009,190110,Physical Rehabilitation,355
2009,190125,Acute,20415
2009,190125,Skilled Nursing/Intermediate Care,289
2009,190137,Physical Rehabilitation,1352
2009,190148,Acute,20541
2009,190148,Physical Rehabilitation,1
2009,190150,Psychiatric,1077
2009,190159,Acute,3584
2009,190163,Psychiatric,4641
2009,190170,Acute,10953
2009,190170,Physical Rehabilitation,124
2009,190176,Acute,6341
2009,190184,Psychiatric,6759
2009,190196,Acute,887
2009,190197,Acute,3999
2009,190198,Acute,5927
2009,190198,Skilled Nursing/Intermediate Care,46
2009,190200,Acute,9633
2009,190200,Skilled Nursing/Intermediate Care,319
2009,190232,Psychiatric,4508
2009,190232,Chemical Dependency,71
2009,190240,Acute,7491
2009,190240,Physical Rehabilitation,180
2009,190243,Acute,14793
2009,190256,Acute,5014
2009,190256,Skilled Nursing/Intermediate Care,15
2009,190280,Acute,2452
2009,190280,Skilled Nursing/Intermediate Care,23
2009,190280,Psychiatric,229
2009,190298,Acute,6401
2009,190305,Acute,825
2009,190307,Acute,6832
2009,190307,Physical Rehabilitation,274
2009,190315,Acute,14209
2009,190315,Physical Rehabilitation,480
2009,190317,Psychiatric,854
2009,190323,Acute,19054
2009,190323,Skilled Nursing/Intermediate Care,455
2009,190323,Psychiatric,1647
2009,190323,Physical Rehabilitation,535
2009,190328,Acute,1658
2009,190328,Psychiatric,478
2009,190352,Acute,4261
2009,190352,Skilled Nursing/Intermediate Care,10
2009,190380,Acute,3556
2009,190382,Acute,21174
2009,190382,Skilled Nursing/Intermediate Care,255
2009,190382,Chemical Dependency,2
2009,190382,Physical Rehabilitation,407
2009,190385,Acute,17294
2009,190385,Skilled Nursing/Intermediate Care,48
2009,190385,Physical Rehabilitation,240
2009,190392,Acute,20043
2009,190392,Skilled Nursing/Intermediate Care,774
2009,190392,Physical Rehabilitation,202
2009,190400,Acute,29649
2009,190400,Psychiatric,1174
2009,190400,Physical Rehabilitation,367
2009,190410,Psychiatric,2774
2009,190413,Acute,6553
2009,190413,Skilled Nursing/Intermediate Care,751
2009,190413,Psychiatric,1424
2009,190422,Acute,26901
2009,190422,Skilled Nursing/Intermediate Care,1497
2009,190422,Psychiatric,14
2009,190429,Acute,25159
2009,190430,Acute,16052
2009,190431,Acute,16589
2009,190432,Acute,16544
2009,190434,Acute,14106
2009,190449,Acute,2249
2009,190455,Acute,5918
2009,190455,Physical Rehabilitation,202
2009,190462,Psychiatric,1940
2009,190462,Chemical Dependency,521
2009,190468,Acute,1547
2009,190470,Acute,20999
2009,190470,Skilled Nursing/Intermediate Care,2044
2009,190475,Acute,2787
2009,190475,Psychiatric,1156
2009,190500,Acute,4146
2009,190517,Acute,13948
2009,190521,Acute,7859
2009,190521,Skilled Nursing/Intermediate Care,112
2009,190522,Acute,12188
2009,190522,Psychiatric,1
2009,190522,Physical Rehabilitation,286
2009,190524,Acute,3549
2009,190524,Psychiatric,3340
2009,190525,Acute,23566
2009,190525,Physical Rehabilitation,660
2009,190529,Acute,16666
2009,190529,Skilled Nursing/Intermediate Care,975
2009,190529,Physical Rehabilitation,406
2009,190534,Acute,6614
2009,190541,Acute,240
2009,190547,Acute,6425
2009,190552,Acute,411
2009,190552,Skilled Nursing/Intermediate Care,143
2009,190555,Acute,53369
2009,190555,Psychiatric,1541
2009,190555,Physical Rehabilitation,758
2009,190568,Acute,18057
2009,190568,Psychiatric,1597
2009,190568,Physical Rehabilitation,307
2009,190570,Acute,2706
2009,190587,Acute,5354
2009,190587,Psychiatric,2678
2009,190630,Acute,27809
2009,190630,Skilled Nursing/Intermediate Care,766
2009,190631,Acute,19096
2009,190631,Skilled Nursing/Intermediate Care,771
2009,190631,Physical Rehabilitation,130
2009,190636,Acute,20163
2009,190636,Physical Rehabilitation,172
2009,190646,Psychiatric,2318
2009,190661,Acute,1548
2009,190661,Psychiatric,633
2009,190673,Acute,5057
2009,190680,Acute,6643
2009,190680,Skilled Nursing/Intermediate Care,551
2009,190680,Psychiatric,579
2009,190680,Chemical Dependency,204
2009,190680,Physical Rehabilitation,330
2009,190681,Acute,243
2009,190687,Acute,16365
2009,190696,Acute,4377
2009,190696,Skilled Nursing/Intermediate Care,58
2009,190696,Psychiatric,1653
2009,190708,Acute,4438
2009,190708,Psychiatric,39
2009,190712,Acute,1491
2009,190754,Acute,25371
2009,190754,Skilled Nursing/Intermediate Care,388
2009,190754,Psychiatric,1507
2009,190756,Acute,16092
2009,190758,Acute,19927
2009,190758,Skilled Nursing/Intermediate Care,69
2009,190758,Physical Rehabilitation,379
2009,190762,Acute,8495
2009,190762,Skilled Nursing/Intermediate Care,890
2009,190762,Physical Rehabilitation,299
2009,190766,Acute,4237
2009,190782,Psychiatric,2066
2009,190784,Acute,2655
2009,190784,Skilled Nursing/Intermediate Care,8
